ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
9999,`opposite,adj,"flip side, the other way about, other, everything but smn/sth, everything smn/sth is not, nothing like smn/sth, at odds",the other way around,"[G1] He's the opposite of what a hero is → He's everything but a hero → He's everything a hero is not
[G2] The opposite of too little diversity is too much → The flip side of too little diversity is too much
[G3] He's on the opposite side of the house → He's on the other side of the house
[G4] State, county on opposite paths about the issue → State, county at odds about the issue",
9999,`oppress,vb,keep down,,"[G1] This is what's oppressing society → This is what's keeping society down
[S] repress",
9999,`optimistic,adj,"hopeful, upbeat, bullish, chipper, have hope, take hope/heart from",,"[G1] This should make us feel optimistic → We should take hope/heart from that
[G2] She is always optimistic → She always thinks the best of everything
[S] encourage, cheerful",
9999,`option,n,"[D1|the configuration of a device] setting(s) [D2|the ability to choose] pick, say, will, way",choice,[G1] You have the option to choose one of many phones → You can choose one of many phones,
9999,`particularly,adv,,,"[G1] Sometimes candidates aren't particularly well-known → Sometimes candidates aren't so/as well-known
[S] especially",
9999,`past,n,,,"[G1] Stop thinking about the past → Stop thinking about what came before → Stop thinking about what's behind you
[G2] That's all in the past now → That's all behind me now",MORE EXAMPLES
9999,`perform,vb,"do, fare",,[G1] John tends to perform better in math → John tends to do better in math → John tends to fare better with math,
9999,`permission,n,"leave, blessing",,"[G1] With his permission → With his blessing
[G2] You don't have persmission to enter → You don't have leave to enter",
9999,`persistent,adj,"long-standing, abiding",,"[G1] She had a persistant curiosity → She had an abiding curiosity
[S] enduring",
9999,`personally,adv,"one smn's own, by oneself, for one",,"[G1] Personally, I think we should go → I for one think we should go",
9999,`pessimistic,adj,"downbeat, hopeless, bearish, bleak, grim, gloomy, unlikely, lose hope/heart from",,"[G1] This shouldn't make us feel pessimistic → We shouldn't lose hope/heart from that
[G2] She is always pessimistic → She always thinks the worst of everything
[S] discourage",
9999,`place,vb,put,,[G1] Place it in oven → Put it in the oven,
9999,`plan,vb,"plot, set out",,"[G1] Do you have anything planned for the weekend? → Do you have anything lined up this weekend?
[G2] We need to plan ahead → We need to think ahead
[G3] This is not the speech I was planning on giving → This is not the speech I set out to give
[S] intend",
9999,`platform,n,"outlet, soapbox",,[G1] He shouldn't be given a platform to spew this hate → He shouldn't be given a soapbox to spew this hate → He shouldn't be given an outlet to spew this hate,
9999,`popular,adj,well-liked,catch on,"[F1] The word soon became popular → The word soon caught on
[S] famous",
9999,`possession,n,"[D1|the state of having something at one's disposal] hands, keeping, ownership",,[G1] The money is in the possession of the thief → The money is in/at the hands of the thief ,
9999,`possibility,n,"glimmer, likelihood, room",,"[G1] For a while there was a possibility that John might win after all → For a while there was a glimmer that John might win after all
[G2] What's the possibility that he didn't kill John? → What's the likelihood that he didn't kill John? → What are the odds that he didn't kill John?
[G3] He left open the possibility for a return → He left the door open for a return
[G4] New discovery points to the possibility of life on Venus → New discovery could point to life on Venus
[S] chance, indication",
9999,`possibly,adv,"maybe, ever",,"[G1] Nothing could possibly stop me from doing this → Nothing could ever stop me from doing this → Nothing in the world could stop me from doing this
[G2] How could you possibly think that? → How could you ever think that?
[G3] Could you possibly help me with this? → Could you maybe help me with this?
[G4] Can they possibly be any good? → Could they be any good?",
9999,`postpone,vb,"put sth on hold, set sth aside",,"[G1] I wish I hadn't postponed seeking help for so long → I wish I hadn't left it so long to seek help
[L1|G1] https://metro.co.uk/2018/09/22/dont-put-off-getting-help-for-ocd-7934022/
[S] delay",
9999,`potential,n,,,"[G1] It had the potential to be good → It could have been good
[G2] He had so much potential → He had so much going for him",
9999,`predict,vb,"foresee, see, forecast, see sth coming, call, foreshadow",,"[G1] He predicted it was going to happen a long time ago → He knew it was going to happen a long time ago
[G2] I'm calling it - John is going to win this time
[S] anticipate",
9999,`presence,n,,,[G1] I felt his presence → I felt him there,
9999,`prioritize,vb,"put first, come first, put sth ahead of sth, put sth before sth",,"[G1] The assignment is probably a full day's work, so don't prioritize it over anything important → The assignment is probably a full day's work, so don't put it ahead of anything important",
9999,"`privately, `in private",adv,"[D1|in secret] between/amongst oneself [D2|away from public view] on one's own, one-on-one, together, when nobody/no one is looking",behind closed doors,[G1] We talked about this privately → We talked about this between ourselves/on our own/together,
9999,`profession,n,"job, line of work, craft",,[G1] My profession is cook → I cook for a living → I work as a cook,
9999,`progress,vb,"get on (with), come, come along, do, wear on, fare, get along, go, go along, go off, leapfrog",,"[G1] As the war progressed, shortages became bigger → As the war wore on, shortages became bigger
[S] continue, make progress",
9999,`progressively,adv,,,"[G1] I'm lifting progressively heavier weights → I'm lifting heavier and heavier weights
[S] gradually, increasingly",
9999,`promise,vb,"swear, give/have smn's word",vow,"[G1] We're not tracing this call, I promise you → We're not tracing this call, you have my word
[G2] You promised me → You gave me your word",
9999,`promise,n,"word, oath, what smn said they would do",,[G1] He has yet again walked back on his promise → He has yet again walked back on his word,
9999,`pros,n,"upside(s), the good, the bright side (of things)",,"[G1] You have to weigh out the pros and cons → You have to weigh out the the good and the bad
[G2] There are also pros → There is also a good side to it
[S] cons",
9999,`purchase,n,buy,,[G1] If you are unsatisfied with your purchase → If you are unsatisfied with what you bought,
9999,`purpose,n,"goal, end, wish, mark, meaning, dream, sake",,"[G1] Whose only purpose is → Whose only job is
[G2] What is it's purpose? → What is it for?",
9999,`quiet,adj,"still, hushed",soundless,"[G1] Be quiet → Keep it down
[G2] He is quiet → He keeps to himself → He says nothing → He never says anything",
9999,`rarely,adv,"hardly (ever), seldom",,[G1] Rarely have I been more wrong → Hardly have I been more wrong,
9999,`re-,pref,"verb + again, verb + once more, verb + over, verb + anew",,"[G1] There's no way I'm going to redo this → There's no way I'm doing this again/over
[S] repeat",
9999,`recent,adj,,,[G1] A more recent film → A newer film,
9999,`recognize,vb,,,[G1] She regognizes that she should not do it → She knows not to do it,
9999,`recommend,vb,"put forward, put in a (good) word for",,"[G1] Which one would you recommend? → Which one do you think is better/the best?
[S] propose",
9999,`reflect,vb,"match, meet, think back to/on",,"[G1] Your beliefs must reflect his beliefs → Your beliefs must meet/match his beliefs
[S] remember",
9999,`refuse,vb,"choose not to, say no (to)",,"[G1] He refused to do it → He chose not to do it
[G2] He still refuses to do it → He still won't do it",
9999,`regarding,prep,"as far as sth goes, so far as sth goes, as for, in the way of, about, having to do with, in that, when it comes to, -wise",,"[G1] I think you're right in terms of/regards to policy → I think you're right when it comes to policy → I think you're right policy-wise
[G2] Plastic is good in terms of durability → plastic is good in that it's durable
[S] concern",
9999,`relatable,adj,,,[G1] His last song was relatable → His last song spoke to me,
9999,`relate,vb,"[D1|to identify with] understand, speak to smn, know the feeling, know/understand how one feels, know/understand how it feels [D2|to form a close personal relationship] bond, click, befriend, hit it off, feel for [D3|to give an oral or written account of in some detail] ",,"[G1] I was homeless once, so I can relate → I was homeless once, so I know the feeling/how you feel
[G2] I find it difficult to relate to others because I'm shy → I find it difficult to understand others/how others feel because I'm shy",
